ID,content
1449711,还行
1449711,让所有青春励志片见鬼去吧！这才叫他妈的励志！
1449711,烈士暮年，壮心不已。太好看了！！
1449711,做人要是没有理想，那和卷心菜有什么差别。忒酷的老头。
1449711,只要你肯迈出第一步，所有人都会帮你。
1449711,开摩托的博士
1449711,做人如果没有理想，和蔬菜有什么区别？
1449711,结果重要路上的风景也重要
1449711,美好的故事，美好的电影。
1449711,Anthonythisisyourownmovie.
1449711,有梦想却不行动，就跟卷心菜没有区别。正式比赛的过程真是紧张死，好久没有看这么有力量的片子，让我们在路上！
1449711,这么快的车速居然没把他摔死奇迹
1449711,为梦想而执着。
1449711,好棒
1449711,Viewedon2007Aug
1449711,老男人的速度梦。
1449711,哎呀口音真奇怪
1449711,一个新西兰人为了自己速度的梦想远赴美国盐湖城创造了1000cc摩托车世上最快记录，一路上遇到的人事物无不暖意盎然，不由想起台湾老人摩托环岛与褚橙的故事，有梦何时都不晚！
1449711,老当益壮，不管是开摩托OR搭女人。
1449711,孟若：假若你不去追求自己的梦想，那就跟蔬菜没什么两样。汤姆：嗯嗯。哪种蔬菜？孟若：高丽菜吧。
1449711,为何美国人拍的这种电影总能显得那么真诚。
1449711,"Ifyoudon'tfollowthroughonyourdreams,youmightaswellbeavegetable."
1449711,最爱这样幽默的老头，不过被这个社会压抑习惯了，有点难以相信全篇的正能量。。。我不要做卷心菜啊！
1449711,新西兰，向往
1449711,要追。
1449711,人只要心诚意笃的做一件事，哪怕不能成功成仁，最终也势必成全了自己，不枉来这世上活过一回。
1449711,要是不跟途中那个老太太一夜情，肯定会打五分的
1449711,酷滴一坨
1449711,Burtdidit!
1449711,"一个很感人的寻梦的故事,发人深思！安东尼精湛的演技自然是不用说的,最强悍的还有影片中超壮美的盐湖景色!还有充满神秘气息的海市蜃楼!绝对值得一看!"
1449711,到底多快——时速201，英里。
1449711,给劲！！！
1449711,他骑在印第安摩托上的那五分钟，要精彩过好多人的一生。
1449711,不知道怎么评价这片子，作为传记的原型此人是伟大的，但就电影本身来讲正能量爆棚，全片没有大的矛盾点，都是出现问题立马解决，没有伏笔毫无起伏，导致结尾高潮时由于情绪累积不够也得不到爆发。综上所诉此片不算是个成功的片子……
1449711,一人有一个梦想
1449711,"Ifyoudon'tgowhenyouwannago,whenyoudogoyou'llfindyou'vegone"
1449711,太励志了，很平和的电影
