电影名,链接,评分,导演,作者,主演,类型,制片国家/地区,年份,出版社,出版年
黑爵士之圣诞颂歌 Blackadder's Christmas Carol,https://movie.douban.com/subject/1999689/,8.8 (1092人评价), Richard Boden,, 罗温·艾金森 / 托尼·罗宾逊 / 米兰达·理查森, 喜剧 / 历史, 英国, 1988,,
新呼啸山庄 Wuthering Heights,https://movie.douban.com/subject/1294182/,6.3 (309人评价), 罗伯特·富斯特,, 提摩西·道尔顿 / 安娜·考尔德-马歇尔 / 哈里·安德鲁斯, 冒险 / 剧情 / 爱情, 英国, 1970,,
呼啸山庄 Wuthering Heights,https://movie.douban.com/subject/3986514/,7.9 (126人评价), Dick Coles,, Ken Hutchison / Brian Wilde / Pat Heywood,, 英国, 1978,,
奥赛罗 The Tragedy of Othello: The Moor of Venice,https://movie.douban.com/subject/1296289/,7.8 (1712人评价), 奥逊·威尔斯,, 米歇尔·麦克利亚姆莫伊尔 / 罗伯托·库特 / 奥逊·威尔斯, 剧情 / 爱情, 美国/意大利/法国/摩洛哥, 1951,,
蝴蝶梦 Rebecca,https://movie.douban.com/subject/1293824/,8.3 (96152人评价), 阿尔弗雷德·希区柯克,, 劳伦斯·奥利弗 / 琼·芳登 / 乔治·桑德斯, 剧情 / 爱情 / 悬疑, 美国, 1940,,
简爱 Jane Eyre,https://movie.douban.com/subject/1296824/,7.8 (22158人评价), 罗伯特·斯蒂文森,, 奥逊·威尔斯 / 琼·芳登 / 玛格丽特·奥布赖恩, 剧情 / 爱情, 美国, 1943,,
呼啸山庄 Wuthering Heights,https://movie.douban.com/subject/1293647/,7.8 (9629人评价), 威廉·惠勒,, 梅尔·奥勃朗 / 劳伦斯·奥利弗 / 大卫·尼文, 剧情 / 爱情, 美国, 1939,,
呼啸山庄 Cime Tempestose,https://movie.douban.com/subject/2033510/,7.8 (896人评价), Fabrizio Costa,, Alessio Boni / Anita Caprioli, 剧情 / 爱情 / 悬疑, Italy, 2004,,
朱安党人！ Chouans!,https://movie.douban.com/subject/1295640/,7.2 (302人评价), 菲利普·德·布罗卡,, 索菲·玛索 Sophie Marceau / Philippe Noiret, 冒险 / 战争, 法国, 1988,,
远大前程 Great Expectations,https://movie.douban.com/subject/6717148/,7.7 (9925人评价), 布莱恩·柯克,, 道格拉斯·布斯 / 杰克·罗斯 / 雷·温斯顿, 剧情 / 古装, 英国, 2011,,
悲惨世界 Les Misérables,https://movie.douban.com/subject/6860160/,8.7 (341069人评价), 汤姆·霍伯,, 休·杰克曼 / 罗素·克劳 / 安妮·海瑟薇, 剧情 / 爱情 / 歌舞, 英国/美国, 2012,,
斯佳丽 Scarlett,https://movie.douban.com/subject/1793122/,6.3 (943人评价), 约翰·厄曼,, 琼妮·威利 / 提摩西·道尔顿 / 肖恩·宾, 剧情 / 爱情, 法国/美国/德国/意大利, 1994,,
爱的力量 The Conquering Power,https://movie.douban.com/subject/3270708/,暂无评分, Rex Ingram,, Alice Terry / Rudolph Valentino, 剧情, 美国, 1921,,
铁面人 The Man in the Iron Mask,https://movie.douban.com/subject/1292798/,7.2 (24692人评价), 兰道尔·华莱士,, 莱昂纳多·迪卡普里奥 / 杰瑞米·艾恩斯 / 约翰·马尔科维奇, 动作 / 冒险 / 剧情 / 历史, 美国, 1998,,
雾都孤儿 Oliver Twist,https://movie.douban.com/subject/1418194/,8.0 (41513人评价), 罗曼·波兰斯基,, 巴内·克拉克 / 杰里米·斯威夫特 / 伊恩·麦克尼奇, 剧情 / 家庭, 英国/捷克/法国/意大利, 2005,,
嘉莉妹妹 Carrie,https://movie.douban.com/subject/1294945/,8.1 (2511人评价), 威廉·惠勒,, 劳伦斯·奥利弗 / 珍妮弗·琼斯 / 米利亚姆·霍普金斯, 剧情 / 爱情, 美国, 1952,,
